ident_cely_komponenty;ident_cely_akce;pian;obdobi;areal;x;y
M-202500078A-K002;M-202500078A;P-3421-100497;doba laténská;sídliště;48.94463;16.721842
M-202304661A-K002;M-202304661A;P-3421-100499;doba laténská;sídliště;48.943817;16.721817
M-202501118A-K009;M-202501118A;P-2434-102378;doba laténská;neurčený areál;49.119305;16.643122
M-202301992A-K004;M-202301992A;P-3421-100290;doba laténská;sídliště;48.871788;16.971195
M-202301992A-K005;M-202301992A;P-3421-100290;časná doba laténská (LtA);sídliště;48.871788;16.971195
M-202301991A-K005;M-202301991A;P-3421-100289;doba laténská;sídliště;48.870323;16.972645
M-202301991A-K006;M-202301991A;P-3421-100289;doba laténská;izolovaný pohřeb;48.870323;16.972645
M-202301991A-K007;M-202301991A;P-3421-100289;časná doba laténská (LtA);sídliště;48.870323;16.972645
M-202105860A-K002;M-202105860A;P-1443-100449;doba laténská;sídliště;49.764267;16.910055
M-202304571A-K003;M-202304571A;P-2441-101315;doba laténská;izolovaný pohřeb;49.211685;16.823679
M-202300965A-K008;M-202300965A;P-2442-100727;doba laténská;sídliště;49.2966;17.012346
M-9001854A-K004;M-9001854A;P-2434-101345;doba laténská;neurčený areál;49.125977;16.656971
M-9002221A-K001;M-9002221A;P-2422-101161;doba laténská;ojedinělý nález;49.56326;17.07591
M-9002223A-K002;M-9002223A;P-2422-101164;doba laténská;ojedinělý nález;49.560226;17.107851
M-9002217A-K001;M-9002217A;P-2422-101159;doba laténská;ojedinělý nález;49.60911;17.1981
M-9106728A-K001;M-9106728A;P-2434-900021;doba laténská;pohřební areál;49.08893;16.59909
M-9106674A-K001;M-9106674A;P-2434-900015;doba laténská;pohřební areál;49.12631;16.65476
M-9002378A-K001;M-9002378A;P-2422-101299;mladší–pozdní doba laténská (LtC2–D);ojedinělý nález;49.61502;17.301027
M-9123938A-K001;M-9123938A;P-2434-101378;doba laténská;pohřební areál;49.075768;16.545826
M-9115388A-K001;M-9115388A;P-2434-900028;doba laténská;pohřební areál;49.15925;16.648506
M-9106690A-K001;M-9106690A;P-3423-100416;doba laténská;pohřební areál;48.72811;16.97318
M-9107185A-K002;M-9107185A;P-2541-100060;doba laténská;neurčený areál;49.231377;18.08217
M-9120462A-K001;M-9120462A;P-2434-101382;doba laténská;pohřební areál;49.082157;16.54801
M-9106951A-K001;M-9106951A;P-2414-900107;doba laténská;neurčený areál;49.496014;16.661602
M-9116103A-K002;M-9116103A;P-2434-101404;doba laténská;neurčený areál;49.096375;16.625723
M-9118313A-K005;M-9118313A;P-2421-100505;doba laténská;sídliště;49.608593;16.678381
M-9126268A-K001;M-9126268A;P-2434-900058;doba laténská;neurčený areál;49.082024;16.551136
M-9106675A-K001;M-9106675A;P-2434-101414;doba laténská;pohřební areál;49.166866;16.653263
M-9101880A-K001;M-9101880A;P-2433-100317;doba laténská;výšinné sídliště;49.13943;16.104664
M-9122362A-K001;M-9122362A;P-2434-101421;doba laténská;pohřební areál;49.148743;16.653332
M-9116819A-K001;M-9116819A;P-2434-101357;doba laténská;sídliště;49.12814;16.6605
M-9121272A-K001;M-9121272A;P-2421-100481;doba laténská;neurčený areál;49.541977;16.760088
M-202401209A-K002;M-202401209A;P-1532-101402;časná doba laténská (LtA);sídliště;49.964043;17.860027
M-202401209A-K014;M-202401209A;P-1532-101407;doba laténská;sídliště;49.955467;17.90763
M-9100594A-K003;M-9100594A;P-3423-100253;doba laténská;město;48.82686;16.848433
M-9100594A-K009;M-9100594A;P-3423-100420;doba laténská;město;48.82661;16.847912
M-9100594A-K015;M-9100594A;P-3423-100255;doba laténská;město;48.824894;16.845932
M-9100594A-K021;M-9100594A;P-3423-100256;doba laténská;město;48.82455;16.84673
M-9110710A-K001;M-9110710A;P-2442-100649;doba laténská;pohřební areál;49.215027;17.032145
M-9120304A-K001;M-9120304A;P-2441-900052;doba laténská;neurčený areál;49.281635;16.864151
M-202100230A-K003;M-202100230A;P-2513-100618;doba laténská;sídliště;49.45215;17.407986
M-202200372E-K020;M-202200372E;P-2513-100563;doba laténská;sídliště;49.464237;17.42275
M-202200452A-K004;M-202200452A;P-3421-100453;mladší–pozdní doba laténská (LtC2–D);sídliště;48.924114;16.964249
M-202200372C-K014;M-202200372C;P-2513-100561;doba laténská;neurčený areál;49.462063;17.421309
M-202200372D-K016;M-202200372D;P-2513-100562;doba laténská;sídliště;49.4661;17.4268
M-202200372D-K017;M-202200372D;P-2513-100562;střední doba laténská (LtB–C1);sídliště;49.4661;17.4268
M-202200372D-K018;M-202200372D;P-2513-100562;pozdní doba laténská (LtD);sídliště;49.4661;17.4268
M-202200372B-K012;M-202200372B;P-2513-100560;doba laténská;sídliště;49.466652;17.424368
M-9002331A-K001;M-9002331A;P-2424-101129;střední doba laténská (LtB–C1);ojedinělý nález;49.45134;17.112568
M-202203215A-K010;M-202203215A;P-2434-102269;doba laténská;sídliště;49.08339;16.600061
M-9002290A-K002;M-9002290A;P-2443-100890;doba laténská;ojedinělý nález;49.19146;16.677963
M-202303475A-K002;M-202303475A;P-2531-101661;doba laténská;sídliště;49.309574;17.565376
M-202105919A-K003;M-202105919A;P-2531-101659;doba laténská;neurčený areál;49.34878;17.61543
M-202301852A-K002;M-202301852A;P-2531-101624;doba laténská;neurčený areál;49.277912;17.39246
M-9002175A-K003;M-9002175A;P-2424-100947;doba laténská;ojedinělý nález;49.410965;17.126154
M-9002175A-K004;M-9002175A;P-2424-100948;doba laténská;neurčený areál;49.41409;17.132711
M-9002201A-K006;M-9002201A;P-2531-101651;doba laténská;sídliště;49.204163;17.567694
M-202300201A-K003;M-202300201A;P-2422-101204;doba laténská;sídliště;49.55201;17.24906
M-202100223A-K002;M-202100223A;P-2442-100629;doba laténská;sídliště;49.33918;17.25001
M-202100368A-K004;M-202100368A;P-2422-101216;doba laténská;sídliště;49.668964;17.122103
M-9002139A-K001;M-9002139A;P-2532-100559;doba laténská;ojedinělý nález;49.224625;17.7308
M-202100221A-K006;M-202100221A;P-2442-100627;doba laténská;sídliště;49.339;17.249836
M-9002113A-K009;M-9002113A;P-2422-101020;doba laténská;sídliště;49.5509;17.166687
M-9002113A-K014;M-9002113A;P-2422-101023;doba laténská;sídliště;49.559128;17.232489
M-9002113A-K018;M-9002113A;P-2422-101024;střední doba laténská (LtB–C1);sídliště;49.552517;17.250027
M-9002113A-K020;M-9002113A;P-2422-101025;střední doba laténská (LtB–C1);sídliště;49.547466;17.314112
M-9122461A-K001;M-9122461A;P-2434-101332;doba laténská;pohřební areál;49.10236;16.604042
M-9123558A-K001;M-9123558A;P-2434-101379;doba laténská;sídliště;49.075222;16.545992
M-9123409A-K001;M-9123409A;P-2514-100407;doba laténská;hradiště;49.42744;17.830252
M-9122458A-K001;M-9122458A;P-2414-100518;doba laténská;železářský areál;49.442715;16.579855
M-9122458A-K002;M-9122458A;P-2414-100517;doba laténská;sídliště;49.435295;16.585613
M-9122409A-K002;M-9122409A;P-2414-100527;doba laténská;neurčený areál;49.428707;16.576094
M-9118061A-K005;M-9118061A;P-2414-100538;doba laténská;sídliště;49.47083;16.599974
M-9118310A-K001;M-9118310A;P-2421-100510;doba laténská;sídliště;49.612545;16.678286
M-9118001A-K002;M-9118001A;P-2434-101413;doba laténská;neurčený areál;49.117573;16.644024
M-9112490A-K002;M-9112490A;P-2421-100502;doba laténská;neurčený areál;49.57146;16.680204
M-9112577A-K003;M-9112577A;P-2421-100484;doba laténská;neurčený areál;49.554497;16.71596
M-9108190A-K001;M-9108190A;P-2434-101377;doba laténská;pohřební areál;49.07894;16.543018
M-9002065A-K001;M-9002065A;P-2443-100781;doba laténská;sídliště;49.15916;16.916206
M-9002065A-K003;M-9002065A;P-2443-100781;doba laténská;pohřební areál;49.15916;16.916206
M-9106824A-K001;M-9106824A;P-2434-101423;doba laténská;sídliště;49.153008;16.649855
M-9108119A-K002;M-9108119A;P-2414-100607;doba laténská;sídliště;49.486755;16.602549
M-9002049A-K002;M-9002049A;P-2514-100298;doba laténská;sídliště;49.37673;17.700258
M-202200618A-K002;M-202200618A;P-2514-100269;pozdní doba laténská (LtD);výšinné sídliště;49.37583;17.698929
M-202003480A-K001;M-202003480A;P-2434-102047;střední doba laténská (LtB–C1);pohřebiště/hřbitov;49.16038;16.61705
M-9001966A-K001;M-9001966A;P-2432-100875;doba laténská;pohřební areál;49.216934;16.647198
M-201800365A-K002;M-201800365A;P-2531-101388;doba laténská;sídliště;49.343193;17.531502
M-9001962A-K006;M-9001962A;P-2441-100810;mladší–pozdní doba laténská (LtC2–D);sídliště;49.21716;16.713566
M-9001963A-K006;M-9001963A;P-2441-100811;mladší–pozdní doba laténská (LtC2–D);sídliště;49.21679;16.714407
M-9001961A-K007;M-9001961A;P-2441-100809;mladší–pozdní doba laténská (LtC2–D);sídliště;49.217007;16.714052
M-202204819A-K002;M-202204819A;P-2434-101176;pozdní doba laténská (LtD);sídliště;49.189278;16.616446
M-202204823A-K002;M-202204823A;P-2434-101175;pozdní doba laténská (LtD);sídliště;49.189106;16.617239
M-9001902A-K004;M-9001902A;P-2422-100646;doba laténská;sídliště;49.596508;17.250448
M-202204549A-K014;M-202204549A;P-3423-100359;doba laténská;sídliště;48.72859;16.93061
M-202204549A-K001;M-202204549A;P-3423-100360;doba laténská;sídliště;48.740353;16.944748
M-9001868A-K003;M-9001868A;P-2422-100612;doba laténská;sídliště;49.594425;17.216988
M-9001867A-K002;M-9001867A;P-2422-100589;doba laténská;sídliště;49.594414;17.218653
M-9001866A-K003;M-9001866A;P-2422-100588;doba laténská;sídliště;49.593422;17.21762
M-9001865A-K001;M-9001865A;P-2422-100587;doba laténská;sídliště;49.593853;17.223772
M-9001853A-K002;M-9001853A;P-2443-100048;doba laténská;sídliště;49.127014;16.664593
M-202200265A-K001;M-202200265A;P-2443-100694;doba laténská;sídliště;49.19066;16.76337
M-9001838A-K002;M-9001838A;P-2422-100563;doba laténská;sídliště;49.663784;17.113451
M-9001824A-K001;M-9001824A;P-2434-100994;doba laténská;pohřební areál;49.126957;16.661146
M-9001820A-K004;M-9001820A;P-2434-100966;doba laténská;sídliště;49.171062;16.613111
M-9001820A-K006;M-9001820A;P-2434-100966;doba laténská;pohřební areál;49.171062;16.613111
M-9001810A-K001;M-9001810A;P-2434-100949;časná doba laténská (LtA);pohřební areál;49.16544;16.58207
M-9001810A-K002;M-9001810A;P-2434-100949;časná doba laténská (LtA);sídliště;49.16544;16.58207
M-202200098A-K002;M-202200098A;P-2432-100812;střední doba laténská (LtB–C1);pohřebiště/hřbitov;49.30697;16.546236
M-9001723A-K001;M-9001723A;P-2422-100604;doba laténská;sídliště;49.57248;17.185726
M-9001733A-K003;M-9001733A;P-2422-100494;doba laténská;sídliště;49.647358;17.31649
M-9001701A-K005;M-9001701A;P-2424-100730;doba laténská;sídliště;49.533714;17.195549
M-9001696A-K003;M-9001696A;P-1444-100137;doba laténská;sídliště;49.76206;17.139502
M-9001695A-K004;M-9001695A;P-1444-100136;doba laténská;sídliště;49.75202;17.143728
M-9001693A-K002;M-9001693A;P-1444-100166;doba laténská;sídliště;49.776264;17.086462
M-9001689A-K004;M-9001689A;P-1444-100163;doba laténská;sídliště;49.771297;17.102993
M-9001684A-K003;M-9001684A;P-1444-100174;doba laténská;sídliště;49.766457;17.094788
M-9001681A-K002;M-9001681A;P-1444-100162;doba laténská;neurčený areál;49.78188;17.090443
M-9001674A-K004;M-9001674A;P-1444-100161;doba laténská;sídliště;49.74831;17.180714
M-9001661A-K003;M-9001661A;P-1444-100149;doba laténská;sídliště;49.79578;17.136063
M-9001664A-K005;M-9001664A;P-1444-100142;doba laténská;sídliště;49.768204;17.13973
M-9001659A-K005;M-9001659A;P-1444-100152;doba laténská;sídliště;49.789127;17.135418
M-9001660A-K003;M-9001660A;P-1444-100150;doba laténská;sídliště;49.78242;17.138601
M-9001648A-K003;M-9001648A;P-1444-100126;doba laténská;sídliště;49.78683;17.059418
M-9001629A-K002;M-9001629A;P-1444-100118;doba laténská;železářský areál;49.773026;17.027721
M-9001628A-K002;M-9001628A;P-1444-100290;doba laténská;sídliště;49.802685;17.136427
M-9001591A-K003;M-9001591A;P-2531-101242;doba laténská;sídliště;49.325382;17.47747
M-9001591A-K006;M-9001591A;P-2531-101243;doba laténská;sídliště;49.326088;17.482826
M-9001627A-K003;M-9001627A;P-1444-100117;doba laténská;sídliště;49.800407;17.135029
M-201903585A-K002;M-201903585A;P-2424-100708;mladší–pozdní doba laténská (LtC2–D);sídliště;49.518536;17.112919
M-201903585A-K003;M-201903585A;P-2424-100709;mladší–pozdní doba laténská (LtC2–D);sídliště;49.51912;17.112507
M-201904042A-K002;M-201904042A;P-2424-100681;pozdní doba laténská (LtD);ojedinělý nález;49.468258;17.143534
M-9002039A-K001;M-9002039A;P-2533-101322;doba laténská;sídliště;49.133247;17.597713
M-9002039A-K008;M-9002039A;P-2533-101323;doba laténská;sídliště;49.136375;17.601542
M-9002039A-K013;M-9002039A;P-2533-101325;doba laténská;sídliště;49.140095;17.605007
M-202003094A-K006;M-202003094A;P-2424-100672;doba laténská;ojedinělý nález;49.466877;17.151983
M-9001404A-K002;M-9001404A;P-3511-100312;doba laténská;sídliště;49.020004;17.35492
M-9001537A-K002;M-9001537A;P-2533-101091;doba laténská;sídliště;49.02629;17.660175
M-202202398A-K001;M-202202398A;P-2443-100672;střední doba laténská (LtB–C1);sídliště;49.17629;16.80932
M-201800440A-K003;M-201800440A;P-2441-100669;doba laténská;sídliště;49.269855;16.99395
M-9001399A-K002;M-9001399A;P-3511-100308;doba laténská;sídliště;49.01755;17.353544
M-9001402A-K001;M-9001402A;P-3511-100311;doba laténská;sídliště;49.020218;17.358429
M-9001354A-K003;M-9001354A;P-3422-100057;doba laténská;sídliště;48.972218;17.229618
M-9001392A-K005;M-9001392A;P-3511-100303;doba laténská;sídliště;48.996952;17.401995
M-9001379A-K004;M-9001379A;P-3511-100301;doba laténská;sídliště;49.023537;17.62394
M-9001328A-K001;M-9001328A;P-3422-100047;doba laténská;sídliště;48.971977;17.08654
M-9001335A-K003;M-9001335A;P-2444-100143;doba laténská;pohřebiště/hřbitov;49.05446;17.071423
M-9001295A-K001;M-9001295A;P-3424-100113;doba laténská;sídliště;48.839275;17.005743
M-9001295A-K002;M-9001295A;P-3424-100114;doba laténská;sídliště;48.83933;17.005648
M-202200438A-K001;M-202200438A;P-2442-100336;časná doba laténská (LtA);sídliště;49.353085;17.156399
M-202200438A-K002;M-202200438A;P-2442-100336;mladší–pozdní doba laténská (LtC2–D);sídliště;49.353085;17.156399
M-202200438A-K004;M-202200438A;P-2442-100336;doba laténská;železářský areál;49.353085;17.156399
M-201901582A-K004;M-201901582A;P-2424-100442;doba laténská;sídliště;49.518578;17.031452
M-201901582A-K005;M-201901582A;P-2424-100443;doba laténská–římská;sídliště;49.515236;17.04394
M-201901582A-K006;M-201901582A;P-2424-100444;časná doba laténská (LtA);sídliště;49.51441;17.047178
M-201800653A-K001;M-201800653A;P-2422-100372;pozdní doba laténská (LtD);sídliště;49.563038;17.111399
M-202200372A-K007;M-202200372A;P-2513-100559;doba laténská;neurčený areál;49.458214;17.419676
M-202003133A-K003;M-202003133A;P-2422-101236;doba laténská;železářský areál;49.62908;17.076887
M-202102070A-K005;M-202102070A;P-1532-101354;doba laténská;neurčený areál;49.99491;17.804472
M-9001260A-K002;M-9001260A;P-2443-100741;doba laténská;sídliště;49.04983;16.917387
M-9001176A-K003;M-9001176A;P-2531-101015;doba laténská;sídliště;49.321304;17.56732
M-9001140A-K004;M-9001140A;P-2422-100361;doba laténská;sídliště;49.593754;17.218328
M-9001140A-K005;M-9001140A;P-2422-100361;časná doba laténská (LtA);sídliště;49.593754;17.218328
M-9001230A-K002;M-9001230A;P-2514-100219;doba laténská;sídliště;49.378494;17.701145
M-9001136A-K006;M-9001136A;P-2422-100359;časná doba laténská (LtA);sídliště;49.594242;17.216455
M-9001136A-K007;M-9001136A;P-2422-100359;doba laténská;sídliště;49.594242;17.216455
M-9001134A-K005;M-9001134A;P-2422-100357;doba laténská;sídliště;49.59202;17.2222
M-9001134A-K006;M-9001134A;P-2422-100357;časná doba laténská (LtA);sídliště;49.59202;17.2222
M-9001131A-K003;M-9001131A;P-2422-100355;doba laténská;sídliště;49.593945;17.218588
M-9001135A-K004;M-9001135A;P-2422-100358;doba laténská;sídliště;49.59345;17.214668
M-202105930A-K001;M-202105930A;P-2533-100953;mladší–pozdní doba laténská (LtC2–D);sídliště;49.188877;17.53018
M-9001116A-K004;M-9001116A;P-2422-100350;doba laténská;sídliště;49.59447;17.217386
M-9001121A-K001;M-9001121A;P-2422-100351;doba laténská;sídliště;49.593636;17.215559
M-9001111A-K003;M-9001111A;P-2422-100348;doba laténská;pohřebiště/hřbitov;49.59127;17.215826
M-9001110A-K004;M-9001110A;P-2422-100346;doba laténská;sídliště;49.594383;17.217613
M-9001108A-K003;M-9001108A;P-2422-100344;časná doba laténská (LtA);sídliště;49.593445;17.219097
M-9001108A-K004;M-9001108A;P-2422-100344;doba laténská;sídliště;49.593445;17.219097
M-202001644A-K001;M-202001644A;P-2514-100218;pozdní doba laténská (LtD);hradiště;49.378536;17.70084
M-9001103A-K003;M-9001103A;P-2422-100343;časná doba laténská (LtA);sídliště;49.592594;17.217024
M-9001103A-K004;M-9001103A;P-2422-100343;doba laténská;sídliště;49.592594;17.217024
M-9001102A-K001;M-9001102A;P-2422-100342;doba laténská;sídliště;49.594227;17.217129
