ident_cely_komponenty;ident_cely_akce;pian;obdobi;areal;x;y
M-9000576A-K002;M-9000576A;P-2443-100619;střední doba laténská (LtB–C1);sídliště;49.092976;16.728216
M-9000575A-K002;M-9000575A;P-2443-100618;doba laténská;sídliště;49.093002;16.727564
M-9000575A-K003;M-9000575A;P-2443-100618;doba laténská;izolovaný pohřeb;49.093002;16.727564
M-9000568A-K001;M-9000568A;P-3421-100246;doba laténská;pohřebiště/hřbitov;48.87223;16.688274
M-9000564A-K007;M-9000564A;P-3421-100243;doba laténská;sídliště;48.863945;16.708134
M-9000562A-K003;M-9000562A;P-3421-100245;doba laténská;sídliště;48.87022;16.71419
M-9000548A-K001;M-9000548A;P-3412-100278;doba laténská;sídliště;48.877243;16.526321
M-9000546A-K004;M-9000546A;P-3423-100251;doba laténská;sídliště;48.846012;16.738836
M-9000546A-K006;M-9000546A;P-3423-100251;doba laténská;pohřebiště/hřbitov;48.846012;16.738836
M-9000528A-K001;M-9000528A;P-2443-100409;doba laténská;sídliště;49.040928;16.86144
M-9000505A-K005;M-9000505A;P-3421-100254;doba laténská;sídliště;48.88239;16.70257
M-9000515A-K005;M-9000515A;P-2443-100605;doba laténská;sídliště;49.100643;16.70236
M-9000502A-K001;M-9000502A;P-3421-100253;doba laténská;sídliště;48.907238;16.676636
M-9000476A-K002;M-9000476A;P-2443-100399;doba laténská;sídliště;49.17941;16.752148
M-9000481A-K003;M-9000481A;P-3421-100249;doba laténská;sídliště;48.859894;16.726995
M-9000444A-K008;M-9000444A;P-2434-100744;doba laténská;sídliště;49.097103;16.629824
M-9000434A-K006;M-9000434A;P-2434-100738;doba laténská;sídliště;49.0623;16.482195
M-9000430A-K001;M-9000430A;P-2443-100392;doba laténská;pohřebiště/hřbitov;49.150284;16.740337
M-9000416A-K003;M-9000416A;P-3423-100192;doba laténská;izolovaný pohřeb;48.79706;16.672596
M-9000429A-K007;M-9000429A;P-3412-100355;doba laténská;sídliště;48.966248;16.541592
M-9000403A-K004;M-9000403A;P-3421-100224;doba laténská;sídliště;48.85784;16.715416
M-9000402A-K005;M-9000402A;P-3421-100223;doba laténská;sídliště;48.854893;16.713154
M-9000400A-K004;M-9000400A;P-3421-100220;doba laténská;sídliště;48.862316;16.706827
M-9000399A-K005;M-9000399A;P-3421-100220;doba laténská;sídliště;48.862316;16.706827
M-9000399A-K009;M-9000399A;P-3421-100221;doba laténská;sídliště;48.855656;16.714205
M-9000399A-K013;M-9000399A;P-3421-100222;doba laténská;sídliště;48.866295;16.705751
M-9000387A-K003;M-9000387A;P-3423-100177;doba laténská;sídliště;48.731224;16.976606
M-9000386A-K004;M-9000386A;P-3423-100167;doba laténská;ojedinělý nález;48.725796;16.94827
M-202002991A-K002;M-202002991A;P-2531-100964;doba laténská;sídliště;49.275124;17.5968
M-9000381A-K001;M-9000381A;P-3423-100173;doba laténská;ojedinělý nález;48.732635;16.919432
M-9000379A-K002;M-9000379A;P-2521-100197;pozdní doba laténská (LtD);sídliště;49.58352;18.11557
M-9000379A-K004;M-9000379A;P-2521-100198;pozdní doba laténská (LtD);sídliště;49.583572;18.115564
M-9000379A-K011;M-9000379A;P-2521-100200;pozdní doba laténská (LtD);sídliště;49.583385;18.115105
M-9000379A-K013;M-9000379A;P-2521-100201;pozdní doba laténská (LtD);sídliště;49.58361;18.115812
M-9000379A-K019;M-9000379A;P-2521-100193;pozdní doba laténská (LtD);sídliště;49.584217;18.118217
M-9000379A-K022;M-9000379A;P-2521-100194;pozdní doba laténská (LtD);sídliště;49.585037;18.120312
M-9000377A-K004;M-9000377A;P-3423-100169;doba laténská;ojedinělý nález;48.732033;16.97693
M-9000376A-K006;M-9000376A;P-3423-100170;doba laténská;ojedinělý nález;48.735695;16.976967
M-9000365A-K005;M-9000365A;P-3412-100238;doba laténská;sídliště;48.912193;16.568407
M-9000358A-K002;M-9000358A;P-3412-100234;doba laténská;sídliště;48.882927;16.57428
M-9000357A-K001;M-9000357A;P-3412-100233;doba laténská;sídliště;48.883186;16.57388
M-9000339A-K004;M-9000339A;P-3412-100226;doba laténská;sídliště;48.883503;16.576353
M-9000353A-K003;M-9000353A;P-3412-100231;doba laténská;sídliště;48.88418;16.571634
M-9000349A-K001;M-9000349A;P-3412-100228;doba laténská;sídliště;48.90344;16.591259
M-9000331A-K004;M-9000331A;P-3412-100245;doba laténská;ojedinělý nález;48.88647;16.636204
M-9000309A-K002;M-9000309A;P-2521-100175;doba laténská;sídliště;49.58289;18.142168
M-9000285A-K001;M-9000285A;P-2434-100674;doba laténská;izolovaný pohřeb;49.107788;16.604368
M-9000281A-K004;M-9000281A;P-3423-100190;doba laténská;ojedinělý nález;48.79059;16.890398
M-9000280A-K004;M-9000280A;P-3423-100165;doba laténská;ojedinělý nález;48.79281;16.8732
M-9000279A-K002;M-9000279A;P-2432-100607;doba laténská;sídliště;49.33863;16.50892
M-9000270A-K006;M-9000270A;P-3421-100218;doba laténská;sídliště;48.997383;16.723724
M-9000259A-K002;M-9000259A;P-3414-100082;doba laténská;sídliště;48.85387;16.644182
M-9000239A-K004;M-9000239A;P-3421-100143;doba laténská;sídliště;48.949512;16.7276
M-9000239A-K006;M-9000239A;P-3421-100144;doba laténská;pohřebiště/hřbitov;48.951008;16.729076
M-9000258A-K002;M-9000258A;P-3414-100074;doba laténská;sídliště;48.8543;16.645563
M-9000222A-K004;M-9000222A;P-3423-100137;doba laténská;neurčený areál;48.791054;16.892765
M-9000218A-K005;M-9000218A;P-2432-100577;doba laténská;sídliště;49.318363;16.525589
M-9000206A-K005;M-9000206A;P-3412-100219;doba laténská;ojedinělý nález;48.88684;16.616337
M-9000205A-K002;M-9000205A;P-3412-100218;doba laténská;samostatná usedlost;48.886433;16.612988
M-201802805A-K002;M-201802805A;P-2442-100484;doba laténská;sídliště;49.296284;17.301867
M-201802805A-K003;M-201802805A;P-2442-100485;doba laténská;sídliště;49.29588;17.303339
M-201802805A-K004;M-201802805A;P-2442-100486;doba laténská;sídliště;49.295322;17.304016
M-9000186A-K004;M-9000186A;P-2434-100634;doba laténská;sídliště;49.053165;16.659735
M-9000185A-K001;M-9000185A;P-2443-100332;doba laténská;sídliště;49.064358;16.669342
M-9000172A-K004;M-9000172A;P-2443-100323;doba laténská;pohřebiště/hřbitov;49.184498;16.7208
M-9000176A-K002;M-9000176A;P-2443-100324;doba laténská;sídliště;49.065063;16.668854
M-9000171A-K002;M-9000171A;P-2443-100322;doba laténská;pohřebiště/hřbitov;49.18409;16.720798
M-9000162A-K003;M-9000162A;P-2414-100596;doba laténská;sídliště;49.43731;16.558893
M-9000162A-K004;M-9000162A;P-2414-100596;doba laténská;neurčený areál;49.43731;16.558893
M-9000160A-K002;M-9000160A;P-2432-100559;doba laténská;sídliště;49.337273;16.532917
M-202102201A-K001;M-202102201A;P-3412-100571;doba laténská;sídliště;49.01852;16.384174
M-9000140A-K002;M-9000140A;P-3412-100561;doba laténská;sídliště;48.88889;16.537834
M-9000127A-K001;M-9000127A;P-2414-100284;doba laténská;sídliště;49.370346;16.642889
C-9148975A-K001;C-9148975A;P-2314-010009;doba laténská;sídliště;49.41829;15.085965
C-9122203A-K001;C-9122203A;P-2321-010139;doba laténská;pohřební areál;49.5758;15.529309
C-9122278A-K001;C-9122278A;P-1343-010009;doba laténská;hradiště;49.83971;15.532751
C-9122050A-K001;C-9122050A;P-2321-900007;doba laténská;ojedinělý nález;49.610676;15.584001
C-9122200A-K001;C-9122200A;P-2321-010126;doba laténská;sídliště;49.580303;15.524548
M-202002146A-K003;M-202002146A;P-3412-100197;pozdní doba laténská (LtD);sídliště;48.960472;16.426123
M-9000120A-K001;M-9000120A;P-2531-101014;mladší–pozdní doba laténská (LtC2–D);sídliště;49.28406;17.535261
M-202100271A-K003;M-202100271A;P-2433-100101;doba laténská;sídliště;49.170277;16.199398
M-202002165A-K002;M-202002165A;P-2531-100858;doba laténská;nález v druhotné poloze;49.28865;17.487337
M-201900773A-K001;M-201900773A;P-2531-100810;mladší–pozdní doba laténská (LtC2–D);sídliště;49.28879;17.486454
M-202001568B-K001;M-202001568B;P-2442-100181;mladší–pozdní doba laténská (LtC2–D);sídliště specializované komunity;49.26776;17.23503
M-202002367A-K002;M-202002367A;P-2444-100066;doba laténská;neurčený areál;49.029854;17.021408
M-201903914A-K001;M-201903914A;P-2531-100558;doba laténská;sídliště;49.302864;17.444118
M-201904036A-K001;M-201904036A;P-2443-100210;střední doba laténská (LtB–C1);sídliště;49.165077;16.78426
M-202001176A-K004;M-202001176A;P-2432-100939;časná doba laténská (LtA);sídliště;49.307194;16.544558
M-202001176A-K005;M-202001176A;P-2432-100939;doba laténská;sídliště;49.307194;16.544558
M-202001176A-K006;M-202001176A;P-2432-100939;doba laténská;pohřební areál;49.307194;16.544558
M-202001565A-K006;M-202001565A;P-2422-100120;doba laténská;sídliště;49.571465;17.240294
M-201800922A-K004;M-201800922A;P-2443-100193;časná doba laténská (LtA);sídliště;49.04764;16.88077
M-201903672A-K001;M-201903672A;P-2432-100391;doba laténská;sídliště;49.206947;16.511679
M-202000239A-K003;M-202000239A;P-2434-100450;střední doba laténská (LtB–C1);pohřební areál;49.08075;16.60348
M-202000854A-K003;M-202000854A;P-2531-100487;doba laténská;sídliště;49.330856;17.50839
M-201904041A-K001;M-201904041A;P-2432-100722;doba laténská;sídliště;49.287148;16.561422
M-201802878A-K003;M-201802878A;P-2531-100352;doba laténská;neurčený areál;49.265503;17.575031
M-201901368A-K006;M-201901368A;P-2442-100096;doba laténská;neurčený areál;49.294144;17.23174
M-201903764A-K004;M-201903764A;P-3423-100383;doba laténská;sídliště;48.823383;16.844198
M-201903052A-K001;M-201903052A;P-2432-100274;doba laténská;sídliště;49.195934;16.60697
M-9000036A-K001;M-9000036A;P-2442-100075;střední doba laténská (LtB–C1);protourbánní aglomerace;49.357754;17.177797
M-201902878A-K001;M-201902878A;P-2434-100479;časná doba laténská (LtA);sídliště;49.164364;16.587078
M-201902584A-K003;M-201902584A;P-2513-100026;doba laténská;sídliště;49.473167;17.432207
M-201902261A-K002;M-201902261A;P-2531-100660;doba laténská;sídliště;49.203327;17.562702
M-201901975A-K010;M-201901975A;P-2531-100656;mladší–pozdní doba laténská (LtC2–D);sídliště;49.199646;17.552225
M-201803005A-K001;M-201803005A;P-3412-100284;mladší–pozdní doba laténská (LtC2–D);nález v druhotné poloze;48.981274;16.525024
M-201901477A-K021;M-201901477A;P-2531-100171;doba laténská;sídliště;49.32601;17.482008
M-201901298A-K002;M-201901298A;P-2434-100453;doba laténská;sídliště;49.11824;16.64458
M-201901444A-K001;M-201901444A;P-2422-100046;doba laténská;sídliště;49.56958;17.190275
M-201901386B-K004;M-201901386B;P-2513-100020;doba laténská;sídliště;49.48256;17.459503
M-201901310A-K002;M-201901310A;P-2422-100036;doba laténská;pohřební areál;49.569836;17.185429
M-201901156A-K003;M-201901156A;P-1444-100008;doba laténská;sídliště;49.739197;17.258657
M-201901064A-K002;M-201901064A;P-1443-100025;doba laténská;sídliště;49.767143;16.910496
M-201901022A-K006;M-201901022A;P-2422-100019;střední doba laténská (LtB–C1);sídliště;49.55227;17.248417
M-201901017A-K009;M-201901017A;P-2422-100017;doba laténská;sídliště;49.552784;17.248617
M-201900927A-K009;M-201900927A;P-2422-100014;doba laténská;sídliště;49.55272;17.249157
M-201900918A-K004;M-201900918A;P-2422-100013;doba laténská;sídliště;49.594154;17.218206
M-201900877A-K001;M-201900877A;P-1444-100002;doba laténská;sídliště;49.731377;17.17796
M-201900755A-K009;M-201900755A;P-2531-100140;doba laténská;sídliště;49.327423;17.453747
M-201900570A-K010;M-201900570A;P-1443-100020;doba laténská;sídliště;49.75588;16.969395
M-9000013A-K003;M-9000013A;P-1443-100118;doba laténská;sídliště;49.73214;16.976362
M-9105768A-K004;M-9105768A;P-2433-100164;doba laténská;sídliště;49.116955;16.166496
M-9105447A-K004;M-9105447A;P-2531-101001;doba laténská;sídliště;49.20928;17.594498
M-9105349A-K002;M-9105349A;P-2422-100913;doba laténská;sídliště;49.582108;17.25072
M-9104843A-K002;M-9104843A;P-2442-100519;doba laténská;sídliště;49.280796;17.31939
M-9104716A-K001;M-9104716A;P-2443-100772;doba laténská;sídliště;49.164368;16.783892
M-9104717A-K001;M-9104717A;P-2443-100795;pozdní doba laténská (LtD);sídliště;49.164345;16.784353
M-9104693A-K003;M-9104693A;P-2531-101497;střední doba laténská (LtB–C1);sídliště;49.33674;17.444677
M-9104677A-K003;M-9104677A;P-1443-100379;doba laténská;sídliště;49.731873;16.976816
M-9104652A-K007;M-9104652A;P-2434-101314;doba laténská;sídliště;49.041424;16.597689
M-9104540A-K004;M-9104540A;P-2434-101527;střední doba laténská (LtB–C1);pohřebiště/hřbitov;49.114445;16.60696
M-9104656A-K003;M-9104656A;P-2531-101199;střední doba laténská (LtB–C1);sídliště;49.32262;17.347914
M-9104656A-K004;M-9104656A;P-2531-101199;mladší–pozdní doba laténská (LtC2–D);sídliště;49.32262;17.347914
M-9104656A-K005;M-9104656A;P-2531-101199;pozdní doba laténská (LtD);sídliště;49.32262;17.347914
M-9104475A-K002;M-9104475A;P-2422-100737;doba laténská;sídliště;49.5965;17.248117
M-9104532A-K004;M-9104532A;P-1443-100375;doba laténská;sídliště;49.77967;16.950796
M-9104424A-K002;M-9104424A;P-2513-100254;doba laténská;sídliště;49.455357;17.450941
M-9104402A-K001;M-9104402A;P-2441-100852;doba laténská;sídliště;49.201088;16.885057
M-9104399A-K002;M-9104399A;P-2422-100542;doba laténská;sídliště;49.607643;17.204914
M-9104406A-K003;M-9104406A;P-2434-101286;doba laténská;neurčený areál;49.097633;16.628014
M-9104387A-K001;M-9104387A;P-2434-101678;doba laténská;sídliště;49.062206;16.554182
M-9104387A-K002;M-9104387A;P-2434-101679;doba laténská;sídliště;49.062286;16.553814
M-9104373A-K001;M-9104373A;P-2434-101590;doba laténská;sídliště;49.073086;16.54747
M-9104307A-K003;M-9104307A;P-1532-100743;doba laténská;sídliště;49.93555;17.976755
M-9104289A-K004;M-9104289A;P-2531-101452;doba laténská;sídliště;49.32616;17.554365
M-9104277A-K003;M-9104277A;P-2531-101496;doba laténská;neurčený areál;49.28897;17.487083
M-9104235A-K004;M-9104235A;P-2414-100029;doba laténská;sídliště;49.487564;16.659672
M-9104227A-K004;M-9104227A;P-3412-100357;doba laténská;sídliště;48.964832;16.42659
M-9104225A-K003;M-9104225A;P-2434-100951;doba laténská;neurčený areál;49.148407;16.651518
M-9104193A-K009;M-9104193A;P-2513-100233;časná doba laténská (LtA);sídliště;49.460526;17.421505
M-9104169A-K006;M-9104169A;P-2531-101198;časná doba laténská (LtA);sídliště;49.30702;17.586254
M-9104153A-K002;M-9104153A;P-3423-100385;doba laténská;sídliště;48.783237;16.844324
M-9104119A-K005;M-9104119A;P-2443-100829;doba laténská;sídliště;49.132816;16.730173
M-9104108A-K003;M-9104108A;P-2424-100930;doba laténská;sídliště;49.46613;17.080194
M-9104085A-K002;M-9104085A;P-2432-101313;časná doba laténská (LtA);sídliště;49.33085;16.517958
M-9103997A-K003;M-9103997A;P-2434-100811;časná doba laténská (LtA);areál těžby;49.03214;16.400482
M-9103990A-K002;M-9103990A;P-2434-100818;doba laténská;areál těžby;49.029476;16.401081
M-9103983A-K001;M-9103983A;P-2533-101458;doba laténská;ojedinělý nález;49.190807;17.53364
M-9103890A-K002;M-9103890A;P-2513-100427;doba laténská;sídliště;49.454845;17.449827
